__type;Title;Name;Description;Adress;latitude;longitude;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 12 RUE CHAPTAL;;;12  RUE CHAPTAL 75009 PARIS;48.8808478;2.3335536;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 15 RUE TURGOT;;;15  RUE TURGOT 75009 PARIS;48.8803593;2.3452353;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 16 RUE VICTOIRE;;;16  RUE DE LA VICTOIRE 75009 PARIS;48.8751663;2.3392258;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 21 RUE MILTON;;;21  RUE MILTON 75009 PARIS;48.8787605;2.3411733;
VEMaps.PinData;ECOLE ELEMENTAIRE 10 RUE DE CLICHY;;;10  RUE DE CLICHY  PARIS;48.8777392;2.3305537;
VEMaps.PinData;MAIRIE DU 9E ARRONDISSEMENT;;;6  RUE DROUOT 75009 PARIS;48.8726532;2.3404013;
VEMaps.PinData;ECOLE MATERNELLE 11 RUE LEON SCHWARTZENBERG;;;11  SQUARE ALBAN SATRAGNE 75010 PARIS;48.8752362;2.3546508;
VEMaps.PinData;ECOLE MATERNELLE 155 AV PARMENTIER;;;155  AVENUE PARMENTIER 75010 PARIS;48.8716858;2.3697674;
VEMaps.PinData;ECOLE MATERNELLE 18 RUE HOPITAL SAINT-LOUIS;;;18  RUE DE L' HOPITAL SAINT-LOUIS 75010 PARIS;48.8755343;2.3645734;
VEMaps.PinData;ECOLE MATERNELLE 20 RUE PARADIS;;;20  RUE DE PARADIS 75010 PARIS;48.8748395;2.3537323;
VEMaps.PinData;ECOLE MATERNELLE 23 PAS RECOLLETS;;;23  PASSAGE DES RECOLLETS 75010 PARIS;48.8747249;2.3607992;
VEMaps.PinData;ECOLE MATERNELLE 28 RUE ECLUSES SAINT-MARTIN;;;28  RUE DES ECLUSES SAINT-MARTIN 75010 PARIS;48.8773714;2.3662381;
VEMaps.PinData;ECOLE MATERNELLE 3 RUE BELZUNCE;;;3  RUE DE BELZUNCE 75010 PARIS;48.8792296;2.352857;
VEMaps.PinData;ECOLE MATERNELLE 39 RUE AQUEDUC;;;39  RUE DE L' AQUEDUC 75010 PARIS;48.8825255;2.364011;
VEMaps.PinData;ECOLE MATERNELLE 4 RUE PIERRE BULLET;;;4  RUE PIERRE BULLET 75010 PARIS;48.8716312;2.3580968;
VEMaps.PinData;ECOLE MATERNELLE 49 RUE LOUIS BLANC;;;49  RUE LOUIS BLANC 75010 PARIS;48.8824236;2.3626745;
VEMaps.PinData;ECOLE MATERNELLE 5 RUE BOY-ZELENSKI;;;5  RUE BOY-ZELENSKI 75010 PARIS;48.8767174;2.3678892;
VEMaps.PinData;ECOLE MATERNELLE 6 RUE LEGOUVE;;;6  RUE LEGOUVE 75010 PARIS;48.8722549;2.3622551;
VEMaps.PinData;ECOLE MATERNELLE 9 RUE MARTEL;;;9  RUE MARTEL 75010 PARIS;48.8739648;2.3529123;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 3 RUE BELZUNCE;;;3  RUE DE BELZUNCE 75010 PARIS;48.8792296;2.352857;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 33 AV CLAUDE VELLEFAUX;;;33  AVENUE CLAUDE VELLEFAUX 75010 PARIS;48.8768706;2.3701514;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 34 RUE FAUBOURG SAINT-DENIS;;;34  RUE DU FAUBOURG SAINT-DENIS 75010 PARIS;48.871119;2.353676;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 39 RUE AQUEDUC;;;39  RUE DE L' AQUEDUC 75010 PARIS;48.8825255;2.364011;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 49 BIS RUE LOUIS BLANC;;;49B  RUE LOUIS BLANC 75010 PARIS;48.8824236;2.3626745;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 9 RUE MARTEL;;;9  RUE MARTEL 75010 PARIS;48.8739648;2.3529123;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 5 RUE HOPITAL SAINT LOUIS;;;5  RUE DE L' HOPITAL SAINT-LOUIS 75010 PARIS;48.8748887;2.3654847;
VEMaps.PinData;ÉCOLE ÉLÉMENTAIRE 21 RUE SAMBRE ET MEUSE;;;21  RUE DE SAMBRE-ET-MEUSE 75010 PARIS;48.8748568;2.3717843;
VEMaps.PinData;ECOLE ELEMENTAIRE 41 RUE DE CHABROL;;;41  RUE DE CHABROL 75010 PARIS;48.8768303;2.3529625;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 10 RUE EUGENE VARLIN;;;10  RUE EUGENE VARLIN 75010 PARIS;48.8779188;2.3651836;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 159 AV PARMENTIER;;;159  AVENUE PARMENTIER 75010 PARIS;48.8717733;2.3698829;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 17 RUE MARSEILLE;;;17  RUE DE MARSEILLE 75010 PARIS;48.8717618;2.3638557;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 19 PAS RECOLLETS;;;19  PASSAGE DES RECOLLETS 75010 PARIS;48.8741639;2.3605305;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 200 RUE SAINT-MAUR;;;200  RUE SAINT-MAUR 75010 PARIS;48.8724317;2.3715126;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 216 BIS RUE LAFAYETTE;;;216B  RUE LA FAYETTE 75010 PARIS;48.8818896;2.3672043;
VEMaps.PinData;ECOLE POLYVALENTE 16 RUE VICQ D'AZIR;;;16  RUE VICQ D'AZIR 75010 PARIS;48.8760763;2.3705049;
VEMaps.PinData;ECOLE POLYVALENTE 15 RUE LANCRY;;;15  RUE DE LANCRY 75010 PARIS;48.8695394;2.3603311;
VEMaps.PinData;MAIRIE DU 10E ARRONDISSEMENT;;;72  RUE DU FAUBOURG SAINT-MARTIN 75010 PARIS;48.871749;2.3572353;
VEMaps.PinData;MAISON DES ASSOCIATIONS QUAI DE VALMY;;;206  QUAI DE VALMY 75010 PARIS;48.8816139;2.3685937;
VEMaps.PinData;CONSERVATOIRE MUNICIPAL CHARLES MUNCH;;;7  RUE DURANTI 75011 PARIS;48.8610417;2.3848833;
VEMaps.PinData;ECOLE MATERNELLE 10 BIS RUE DURANTI;;;10B  RUE DURANTI 75011 PARIS;48.8605628;2.383659;
VEMaps.PinData;ECOLE MATERNELLE 11 BIS AV PARMENTIER;;;11B  AVENUE PARMENTIER 75011 PARIS;48.859921;2.3789006;
VEMaps.PinData;ECOLE MATERNELLE 111 AV PARMENTIER;;;111  AVENUE PARMENTIER 75011 PARIS;48.86798;2.372282;
VEMaps.PinData;ECOLE MATERNELLE 13 BD RICHARD LENOIR;;;13  BOULEVARD RICHARD LENOIR 75011 PARIS;48.8560456;2.3700311;
VEMaps.PinData;ECOLE MATERNELLE 14 RUE MERLIN;;;14  RUE MERLIN 75011 PARIS;48.8600489;2.3859133;
VEMaps.PinData;ECOLE MATERNELLE 144 RUE ROQUETTE;;;144  RUE DE LA ROQUETTE 75011 PARIS;48.8580805;2.3822529;
VEMaps.PinData;ECOLE MATERNELLE 18 RUE FAIDHERBE;;;18  RUE FAIDHERBE 75011 PARIS;48.8515538;2.3839637;
VEMaps.PinData;ECOLE MATERNELLE 19 RUE ALPHONSE BAUDIN;;;19  RUE ALPHONSE BAUDIN 75011 PARIS;48.8612117;2.3700873;
VEMaps.PinData;ECOLE MATERNELLE 2 PAS BESLAY;;;2  PASSAGE BESLAY 75011 PARIS;48.862913;2.3731441;
VEMaps.PinData;ECOLE MATERNELLE 31 RUE GODEFROY CAVAIGNAC;;;31  RUE GODEFROY CAVAIGNAC 75011 PARIS;48.8557985;2.38075;
VEMaps.PinData;ECOLE MATERNELLE 39 RUE SAINT-BERNARD;;;39  RUE SAINT-BERNARD 75011 PARIS;48.8531664;2.3806465;
VEMaps.PinData;ECOLE MATERNELLE 39 RUE TROIS BORNES;;;39  RUE DES TROIS BORNES 75011 PARIS;48.867261;2.3744773;
VEMaps.PinData;ECOLE MATERNELLE 4 BIS RUE PRESENTATION;;;4B  RUE DE LA PRESENTATION 75011 PARIS;48.8708508;2.3773653;
VEMaps.PinData;ECOLE MATERNELLE 4 PAS BULLOURDE;;;4  PASSAGE BULLOURDE 75011 PARIS;48.8545008;2.3763784;
VEMaps.PinData;ECOLE MATERNELLE 44 RUE EMILE LEPEU;;;44  RUE EMILE LEPEU 75011 PARIS;48.8567157;2.3882484;
VEMaps.PinData;ECOLE MATERNELLE 5 IMP BALEINE;;;5  IMPASSE DE LA BALEINE 75011 PARIS;48.8672143;2.3777051;
VEMaps.PinData;ECOLE MATERNELLE 54 RUE SERVAN;;;54  RUE SERVAN 75011 PARIS;48.8630565;2.3818251;
VEMaps.PinData;ECOLE MATERNELLE 6 AV BOUVINES;;;6  AVENUE DE BOUVINES 75011 PARIS;48.8502712;2.3965675;
VEMaps.PinData;ECOLE MATERNELLE 7 PAS PIVER;;;7  PASSAGE PIVER 75011 PARIS;48.8705385;2.3744658;
VEMaps.PinData;ECOLE MATERNELLE 9 RUE POPINCOURT;;;9  RUE POPINCOURT 75011 PARIS;48.8573519;2.3774323;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 31 RUE SAINT-BERNARD;;;31  RUE SAINT-BERNARD 75011 PARIS;48.8524695;2.3810741;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 35 RUE GODEFROY CAVAIGNAC;;;35  RUE GODEFROY CAVAIGNAC 75011 PARIS;48.8559867;2.3805733;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 39 RUE ALEXANDRE DUMAS;;;39  RUE ALEXANDRE DUMAS 75011 PARIS;48.8537046;2.3932983;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 39 RUE TROIS BORNES;;;39  RUE DES TROIS BORNES 75011 PARIS;48.867261;2.3744773;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 4 AV BOUVINES;;;4  AVENUE DE BOUVINES 75011 PARIS;48.8497889;2.3962469;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 4 RUE KELLER;;;4  RUE KELLER 75011 PARIS;48.8531901;2.3769938;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 98 AV REPUBLIQUE;;;98  AVENUE DE LA REPUBLIQUE 75011 PARIS;48.8637882;2.382271;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 75 BD BELLEVILLE;;;75  BOULEVARD DE BELLEVILLE 75011 PARIS;48.8710861;2.3777411;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 1 RUE PIHET;;;1  RUE PIHET 75011 PARIS;48.8633534;2.3740441;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 100 AV REPUBLIQUE;;;100  AVENUE DE LA REPUBLIQUE 75011 PARIS;48.8637183;2.3826322;
